X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.005420717522431556,89.03166900710417,0.8573153776985022
2.0,2.0,train,0.011177753037452104,97.46933041443538,0.9253157892959951
3.0,3.0,train,0.0018129203259044332,60.25365349764731,0.66771754911422
4.0,4.0,train,0.001827109056745508,61.16524426758946,0.66944498276726
5.0,5.0,train,8.349611733701718E-5,9.614717099256694,0.0847094615324228
6.0,6.0,train,5.796406886122798E-4,32.321383909473475,0.39116782573886555
7.0,7.0,train,0.0013322622151950264,51.85401884859416,0.5962392027219271
8.0,8.0,train,0.002958851928940509,79.03030726690254,0.7663370219514256
9.0,9.0,train,5.485878151533946E-4,30.949242701619355,0.378136116222118
10.0,10.0,train,3.970521984883222E-4,25.649354063263047,0.30560519641757417
11.0,11.0,train,0.006057660673627143,90.74995221953492,0.8703734336926601
12.0,12.0,train,5.592103018430295E-4,31.514264167556675,0.3826562909686971
13.0,13.0,train,0.0019102954323724172,63.60487737767567,0.6792220178731206
